arive-Dantu|Amaranth
Basale|basale
Betel|betel
Crape_Jasmine|crape_Jasmine
Curry|curry
Drumstick|drumstick
Fenugreek|fenugreek_seed
Guava|guava
Hibiscus|hibiscus
Indian_Beech|indian_beech
Indian_Mustard|indian_mustard
Jackfruit|jackfruit
Jamaica_Cherry-Gasagase|jamaica_cherry
Jamun|syzygium_cumini
Jasmine|jasmine
Karanda|karanda
Lemon|lemon
Mango|mango
Mexican_Mint|mexican_mint
Mint|mint
Neem|laneem
OleanAder|oleander
Parijata|parijata
Peepal|peepal
Pomegranate|pomegranate
Rasna|rasna
Rose_apple|rose_apple
Roxburgh_fig|roxburgh_fig
Sandalwood|sandalwood
Tulsi|tulsi
